id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_babi,tahun
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,2017
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,2017
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,2017
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,314,2017
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,2017
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,2017
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,2017
116,32,JAWA BARAT,3205,KABUPATEN GARUT,0,2017
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,2017
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5,2017
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,2017
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,2017
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,2017
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,2017
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,2017
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,2017
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,2017
127,32,JAWA BARAT,3273,KOTA BANDUNG,1014,2017
128,32,JAWA BARAT,3279,KOTA BANJAR,0,2017
129,32,JAWA BARAT,3275,KOTA BEKASI,2,2017
130,32,JAWA BARAT,3271,KOTA BOGOR,0,2017
131,32,JAWA BARAT,3277,KOTA CIMAHI,0,2017
132,32,JAWA BARAT,3274,KOTA CIREBON,103,2017
133,32,JAWA BARAT,3276,KOTA DEPOK,0,2017
134,32,JAWA BARAT,3272,KOTA SUKABUMI,0,2017
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,2017
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,2018
137,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,2018
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,2018
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,2018
140,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,2018
141,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,2018
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,2018
143,32,JAWA BARAT,3205,KABUPATEN GARUT,0,2018
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,2018
145,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5,2018
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,2018
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,2018
148,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,2018
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,2018
151,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,2018
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,2018
153,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,2018
154,32,JAWA BARAT,3273,KOTA BANDUNG,1013,2018
155,32,JAWA BARAT,3279,KOTA BANJAR,0,2018
156,32,JAWA BARAT,3275,KOTA BEKASI,2,2018
157,32,JAWA BARAT,3271,KOTA BOGOR,0,2018
158,32,JAWA BARAT,3277,KOTA CIMAHI,0,2018
159,32,JAWA BARAT,3274,KOTA CIREBON,114,2018
160,32,JAWA BARAT,3276,KOTA DEPOK,0,2018
161,32,JAWA BARAT,3272,KOTA SUKABUMI,0,2018
162,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,0,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,0,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,901,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,110,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,189,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,0,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,0,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,0,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,0,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,808,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,138,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,6,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,0,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,0,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,0,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,31,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,13,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,0,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,510,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,84,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,5,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,0,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,0,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,0,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,0,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,0,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,0,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,552,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,71,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,4,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,0,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,0,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,0,2022
