id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2285082,KILOGRAM,2017,daging sapi
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3256863,KILOGRAM,2017,daging sapi
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,2214551,KILOGRAM,2017,daging sapi
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,9969490,KILOGRAM,2017,daging sapi
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1156358,KILOGRAM,2017,daging sapi
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1509880,KILOGRAM,2017,daging sapi
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,3973029,KILOGRAM,2017,daging sapi
8,32,JAWA BARAT,3205,KABUPATEN GARUT,2762838,KILOGRAM,2017,daging sapi
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2605766,KILOGRAM,2017,daging sapi
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2100268,KILOGRAM,2017,daging sapi
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3279019,KILOGRAM,2017,daging sapi
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2197885,KILOGRAM,2017,daging sapi
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,600445,KILOGRAM,2017,daging sapi
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1679474,KILOGRAM,2017,daging sapi
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,1234329,KILOGRAM,2017,daging sapi
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1734914,KILOGRAM,2017,daging sapi
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1362069,KILOGRAM,2017,daging sapi
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1985924,KILOGRAM,2017,daging sapi
19,32,JAWA BARAT,3273,KOTA BANDUNG,7860318,KILOGRAM,2017,daging sapi
20,32,JAWA BARAT,3279,KOTA BANJAR,844627,KILOGRAM,2017,daging sapi
21,32,JAWA BARAT,3275,KOTA BEKASI,3312499,KILOGRAM,2017,daging sapi
22,32,JAWA BARAT,3271,KOTA BOGOR,4030216,KILOGRAM,2017,daging sapi
23,32,JAWA BARAT,3277,KOTA CIMAHI,870316,KILOGRAM,2017,daging sapi
24,32,JAWA BARAT,3274,KOTA CIREBON,235731,KILOGRAM,2017,daging sapi
25,32,JAWA BARAT,3276,KOTA DEPOK,6067886,KILOGRAM,2017,daging sapi
26,32,JAWA BARAT,3272,KOTA SUKABUMI,1681794,KILOGRAM,2017,daging sapi
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1687942,KILOGRAM,2017,daging sapi
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5001617,KILOGRAM,2018,daging sapi
29,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4139463,KILOGRAM,2018,daging sapi
30,32,JAWA BARAT,3216,KABUPATEN BEKASI,1636140,KILOGRAM,2018,daging sapi
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,11705777,KILOGRAM,2018,daging sapi
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1167963,KILOGRAM,2018,daging sapi
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1613377,KILOGRAM,2018,daging sapi
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,3830055,KILOGRAM,2018,daging sapi
35,32,JAWA BARAT,3205,KABUPATEN GARUT,2499347,KILOGRAM,2018,daging sapi
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2755488,KILOGRAM,2018,daging sapi
37,32,JAWA BARAT,3215,KABUPATEN KARAWANG,966682,KILOGRAM,2018,daging sapi
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1768004,KILOGRAM,2018,daging sapi
39,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2210417,KILOGRAM,2018,daging sapi
40,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,349653,KILOGRAM,2018,daging sapi
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1554426,KILOGRAM,2018,daging sapi
42,32,JAWA BARAT,3213,KABUPATEN SUBANG,1085639,KILOGRAM,2018,daging sapi
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1743323,KILOGRAM,2018,daging sapi
44,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1710370,KILOGRAM,2018,daging sapi
45,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2227760,KILOGRAM,2018,daging sapi
46,32,JAWA BARAT,3273,KOTA BANDUNG,12206441,KILOGRAM,2018,daging sapi
47,32,JAWA BARAT,3279,KOTA BANJAR,638771,KILOGRAM,2018,daging sapi
48,32,JAWA BARAT,3275,KOTA BEKASI,3580291,KILOGRAM,2018,daging sapi
49,32,JAWA BARAT,3271,KOTA BOGOR,4375195,KILOGRAM,2018,daging sapi
50,32,JAWA BARAT,3277,KOTA CIMAHI,847587,KILOGRAM,2018,daging sapi
51,32,JAWA BARAT,3274,KOTA CIREBON,346490,KILOGRAM,2018,daging sapi
52,32,JAWA BARAT,3276,KOTA DEPOK,8734606,KILOGRAM,2018,daging sapi
53,32,JAWA BARAT,3272,KOTA SUKABUMI,985335,KILOGRAM,2018,daging sapi
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1945690,KILOGRAM,2018,daging sapi
55,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6553655,KILOGRAM,2019,daging sapi
56,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5440848,KILOGRAM,2019,daging sapi
57,32,JAWA BARAT,3216,KABUPATEN BEKASI,1676102,KILOGRAM,2019,daging sapi
58,32,JAWA BARAT,3201,KABUPATEN BOGOR,10422227,KILOGRAM,2019,daging sapi
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1180345,KILOGRAM,2019,daging sapi
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1775466,KILOGRAM,2019,daging sapi
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,3715556,KILOGRAM,2019,daging sapi
62,32,JAWA BARAT,3205,KABUPATEN GARUT,1303386,KILOGRAM,2019,daging sapi
63,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2016745,KILOGRAM,2019,daging sapi
64,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3350820,KILOGRAM,2019,daging sapi
65,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1835145,KILOGRAM,2019,daging sapi
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2248570,KILOGRAM,2019,daging sapi
67,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,747393,KILOGRAM,2019,daging sapi
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1856391,KILOGRAM,2019,daging sapi
69,32,JAWA BARAT,3213,KABUPATEN SUBANG,1427248,KILOGRAM,2019,daging sapi
70,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1830489,KILOGRAM,2019,daging sapi
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1222445,KILOGRAM,2019,daging sapi
72,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2868164,KILOGRAM,2019,daging sapi
73,32,JAWA BARAT,3273,KOTA BANDUNG,7952044,KILOGRAM,2019,daging sapi
74,32,JAWA BARAT,3279,KOTA BANJAR,737367,KILOGRAM,2019,daging sapi
75,32,JAWA BARAT,3275,KOTA BEKASI,1705221,KILOGRAM,2019,daging sapi
76,32,JAWA BARAT,3271,KOTA BOGOR,4398214,KILOGRAM,2019,daging sapi
77,32,JAWA BARAT,3277,KOTA CIMAHI,507071,KILOGRAM,2019,daging sapi
78,32,JAWA BARAT,3274,KOTA CIREBON,492507,KILOGRAM,2019,daging sapi
79,32,JAWA BARAT,3276,KOTA DEPOK,7334457,KILOGRAM,2019,daging sapi
80,32,JAWA BARAT,3272,KOTA SUKABUMI,1189118,KILOGRAM,2019,daging sapi
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3694145,KILOGRAM,2019,daging sapi
82,32, JAWA BARAT,3201,KABUPATEN BOGOR,9908119,KILOGRAM,2020,daging sapi
83,32, JAWA BARAT,3202,KABUPATEN SUKABUMI,1876851,KILOGRAM,2020,daging sapi
84,32, JAWA BARAT,3203,KABUPATEN CIANJUR,2229888,KILOGRAM,2020,daging sapi
85,32, JAWA BARAT,3204,KABUPATEN BANDUNG,7495847,KILOGRAM,2020,daging sapi
86,32, JAWA BARAT,3205,KABUPATEN GARUT,731360,KILOGRAM,2020,daging sapi
87,32, JAWA BARAT,3206,KABUPATEN TASIKMALAY,2743913,KILOGRAM,2020,daging sapi
88,32, JAWA BARAT,3207,KABUPATEN CIAMIS,1219172,KILOGRAM,2020,daging sapi
89,32, JAWA BARAT,3208,KABUPATEN KUNINGAN,1562949,KILOGRAM,2020,daging sapi
90,32, JAWA BARAT,3209,KABUPATEN CIREBON,4371888,KILOGRAM,2020,daging sapi
91,32, JAWA BARAT,3210,KABUPATEN MAJALENGKA,2272862,KILOGRAM,2020,daging sapi
92,32, JAWA BARAT,3211,KABUPATEN SUMEDANG,1561650,KILOGRAM,2020,daging sapi
93,32, JAWA BARAT,3212,KABUPATEN INDRAMAYU,2117055,KILOGRAM,2020,daging sapi
94,32, JAWA BARAT,3213,KABUPATEN SUBANG,1272156,KILOGRAM,2020,daging sapi
95,32, JAWA BARAT,3214,KABUPATEN PURWAKARTA,1537769,KILOGRAM,2020,daging sapi
96,32, JAWA BARAT,3215,KABUPATEN KARAWANG,1242580,KILOGRAM,2020,daging sapi
97,32, JAWA BARAT,3216,KABUPATEN BEKASI,1680492,KILOGRAM,2020,daging sapi
98,32, JAWA BARAT,3217,KABUPATEN BANDUNG BA,5488284,KILOGRAM,2020,daging sapi
99,32, JAWA BARAT,3218,KABUPATEN PANGANDARA,662497,KILOGRAM,2020,daging sapi
100,32, JAWA BARAT,3271,KOTA BOGOR,4312524,KILOGRAM,2020,daging sapi
101,32, JAWA BARAT,3272,KOTA SUKABUMI,1601432,KILOGRAM,2020,daging sapi
102,32, JAWA BARAT,3273,KOTA BANDUNG,9002468,KILOGRAM,2020,daging sapi
103,32, JAWA BARAT,3274,KOTA CIREBON,617544,KILOGRAM,2020,daging sapi
104,32, JAWA BARAT,3275,KOTA BEKASI,3249839,KILOGRAM,2020,daging sapi
105,32, JAWA BARAT,3276,KOTA DEPOK,7359351,KILOGRAM,2020,daging sapi
106,32, JAWA BARAT,3277,KOTA CIMAHI,507286,KILOGRAM,2020,daging sapi
107,32, JAWA BARAT,3278,KOTA TASIKMALAYA,3659518,KILOGRAM,2020,daging sapi
108,32, JAWA BARAT,3279,KOTA BANJAR,710283,KILOGRAM,2020,daging sapi
109,32, JAWA BARAT,3201,KABUPATEN BOGOR,8220506,KILOGRAM,2021,daging sapi
110,32, JAWA BARAT,3202,KABUPATEN SUKABUMI,1881542,KILOGRAM,2021,daging sapi
111,32, JAWA BARAT,3203,KABUPATEN CIANJUR,1927273,KILOGRAM,2021,daging sapi
112,32, JAWA BARAT,3204,KABUPATEN BANDUNG,7396405,KILOGRAM,2021,daging sapi
113,32, JAWA BARAT,3205,KABUPATEN GARUT,494953,KILOGRAM,2021,daging sapi
114,32, JAWA BARAT,3206,KABUPATEN TASIKMALAY,3098614,KILOGRAM,2021,daging sapi
115,32, JAWA BARAT,3207,KABUPATEN CIAMIS,1840192,KILOGRAM,2021,daging sapi
116,32, JAWA BARAT,3208,KABUPATEN KUNINGAN,2726146,KILOGRAM,2021,daging sapi
117,32, JAWA BARAT,3209,KABUPATEN CIREBON,4364539,KILOGRAM,2021,daging sapi
118,32, JAWA BARAT,3210,KABUPATEN MAJALENGKA,2373233,KILOGRAM,2021,daging sapi
119,32, JAWA BARAT,3211,KABUPATEN SUMEDANG,0,KILOGRAM,2021,daging sapi
120,32, JAWA BARAT,3212,KABUPATEN INDRAMAYU,2153412,KILOGRAM,2021,daging sapi
121,32, JAWA BARAT,3213,KABUPATEN SUBANG,1126958,KILOGRAM,2021,daging sapi
122,32, JAWA BARAT,3214,KABUPATEN PURWAKARTA,1355507,KILOGRAM,2021,daging sapi
123,32, JAWA BARAT,3215,KABUPATEN KARAWANG,2601667,KILOGRAM,2021,daging sapi
124,32, JAWA BARAT,3216,KABUPATEN BEKASI,1695372,KILOGRAM,2021,daging sapi
125,32, JAWA BARAT,3217,KABUPATEN BANDUNG BA,5488867,KILOGRAM,2021,daging sapi
126,32, JAWA BARAT,3218,KABUPATEN PANGANDARA,732307,KILOGRAM,2021,daging sapi
127,32, JAWA BARAT,3271,KOTA BOGOR,40499974,KILOGRAM,2021,daging sapi
128,32, JAWA BARAT,3272,KOTA SUKABUMI,1341382,KILOGRAM,2021,daging sapi
129,32, JAWA BARAT,3273,KOTA BANDUNG,0,KILOGRAM,2021,daging sapi
130,32, JAWA BARAT,3274,KOTA CIREBON,295737,KILOGRAM,2021,daging sapi
131,32, JAWA BARAT,3275,KOTA BEKASI,2475331,KILOGRAM,2021,daging sapi
132,32, JAWA BARAT,3276,KOTA DEPOK,6209286,KILOGRAM,2021,daging sapi
133,32, JAWA BARAT,3277,KOTA CIMAHI,1285900,KILOGRAM,2021,daging sapi
134,32, JAWA BARAT,3278,KOTA TASIKMALAYA,3654929,KILOGRAM,2021,daging sapi
135,32, JAWA BARAT,3279,KOTA BANJAR,718785,KILOGRAM,2021,daging sapi
136,32, JAWA BARAT,3201,KABUPATEN BOGOR,7357209,KILOGRAM,2022,daging sapi
137,32, JAWA BARAT,3202,KABUPATEN SUKABUMI,1987454,KILOGRAM,2022,daging sapi
138,32, JAWA BARAT,3203,KABUPATEN CIANJUR,2109174,KILOGRAM,2022,daging sapi
139,32, JAWA BARAT,3204,KABUPATEN BANDUNG,6394882,KILOGRAM,2022,daging sapi
140,32, JAWA BARAT,3205,KABUPATEN GARUT,628935,KILOGRAM,2022,daging sapi
141,32, JAWA BARAT,3206,KABUPATEN TASIKMALAY,2730192,KILOGRAM,2022,daging sapi
142,32, JAWA BARAT,3207,KABUPATEN CIAMIS,1996566,KILOGRAM,2022,daging sapi
143,32, JAWA BARAT,3208,KABUPATEN KUNINGAN,2404489,KILOGRAM,2022,daging sapi
144,32, JAWA BARAT,3209,KABUPATEN CIREBON,3663382,KILOGRAM,2022,daging sapi
145,32, JAWA BARAT,3210,KABUPATEN MAJALENGKA,2374055,KILOGRAM,2022,daging sapi
146,32, JAWA BARAT,3211,KABUPATEN SUMEDANG,2508971,KILOGRAM,2022,daging sapi
147,32, JAWA BARAT,3212,KABUPATEN INDRAMAYU,1801130,KILOGRAM,2022,daging sapi
148,32, JAWA BARAT,3213,KABUPATEN SUBANG,1370797,KILOGRAM,2022,daging sapi
149,32, JAWA BARAT,3214,KABUPATEN PURWAKARTA,1310650,KILOGRAM,2022,daging sapi
150,32, JAWA BARAT,3215,KABUPATEN KARAWANG,1909729,KILOGRAM,2022,daging sapi
151,32, JAWA BARAT,3216,KABUPATEN BEKASI,2463236,KILOGRAM,2022,daging sapi
152,32, JAWA BARAT,3217,KABUPATEN BANDUNG BA,5512670,KILOGRAM,2022,daging sapi
153,32, JAWA BARAT,3218,KABUPATEN PANGANDARA,1127199,KILOGRAM,2022,daging sapi
154,32, JAWA BARAT,3271,KOTA BOGOR,2696665,KILOGRAM,2022,daging sapi
155,32, JAWA BARAT,3272,KOTA SUKABUMI,1144628,KILOGRAM,2022,daging sapi
156,32, JAWA BARAT,3273,KOTA BANDUNG,5867500,KILOGRAM,2022,daging sapi
157,32, JAWA BARAT,3274,KOTA CIREBON,453300,KILOGRAM,2022,daging sapi
158,32, JAWA BARAT,3275,KOTA BEKASI,2344777,KILOGRAM,2022,daging sapi
159,32, JAWA BARAT,3276,KOTA DEPOK,7150916,KILOGRAM,2022,daging sapi
160,32, JAWA BARAT,3277,KOTA CIMAHI,416998,KILOGRAM,2022,daging sapi
161,32, JAWA BARAT,3278,KOTA TASIKMALAYA,2039572,KILOGRAM,2022,daging sapi
162,32, JAWA BARAT,3279,KOTA BANJAR,679806,KILOGRAM,2022,daging sapi
